concession,sample_id,sample_type,lat,lon,utm_zone,utm_easting,utm_northing,grade_g_t,page,source_pdf
oworam,OWPT010,test_pit,5.933798,-0.575267,30N,768455.0,656474.0,0.52,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT011,test_pit,5.933067,-0.575523,30N,768427.0,656393.0,0.46,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT012,test_pit,5.934567,-0.575327,30N,768448.0,656559.0,0.39,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT013,test_pit,5.934778,-0.576048,30N,768368.0,656582.0,0.59,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT014,test_pit,5.934451,-0.57567,30N,768410.0,656546.0,0.46,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT015,test_pit,5.933394,-0.575747,30N,768402.0,656429.0,0.64,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT016,test_pit,5.936818,-0.575461,30N,768432.0,656808.0,0.18,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT017,test_pit,5.934976,-0.575876,30N,768387.0,656604.0,0.2,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT018,test_pit,5.935277,-0.57656,30N,768311.0,656637.0,0.19,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT019,test_pit,5.935683,-0.576369,30N,768332.0,656682.0,0.81,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT020,test_pit,5.935365,-0.575982,30N,768375.0,656647.0,0.19,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT021,test_pit,5.935064,-0.575261,30N,768455.0,656614.0,0.2,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT022,test_pit,5.935542,-0.575187,30N,768463.0,656667.0,0.17,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT023,test_pit,5.93612,-0.575121,30N,768470.0,656731.0,1.2,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT024,test_pit,5.936698,-0.574974,30N,768486.0,656795.0,0.19,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT025,test_pit,5.93652,-0.575643,30N,768412.0,656775.0,0.76,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT026,test_pit,5.936582,-0.57521,30N,768460.0,656782.0,0.21,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT027,test_pit,5.936104,-0.575383,30N,768441.0,656729.0,0.2,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
oworam,OWPT028,test_pit,5.935579,-0.575376,30N,768442.0,656671.0,0.9,104-107,FEASIBILITY STUDY REPORT_ OWORAM GOLD PROJECT _IGNITE MACHINERY_080126.pdf
