concession,sample_id,sample_type,grade_g_t,depth_m,page,source_pdf,notes
amenam,AMPIT024,test_pit,0.11,6.22,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT025,test_pit,0.53,6.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT026,test_pit,1.0,7.3,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT027,test_pit,0.79,5.4,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT028,test_pit,1.37,2.1,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT029,test_pit,0.54,6.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT030,test_pit,0.79,2.2,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT031,test_pit,0.2,2.3,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT032,test_pit,0.4,7.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT033,test_pit,1.6,6.0,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT034,test_pit,1.45,7.6,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
amenam,AMPIT035,test_pit,0.0,4.5,106-109,AMENAM FEASIBILITY STUDY REPORT_ IGNITE MACHINERY RENTALS & MINING LIMITED - AMENAM CONCESSION211025.pdf,g/m3; UTM30N
